policy_id,product,partner,start_date,end_date,state,sum_insured,deductible,channel,premium_gross,premium_net
1,Wohngebaeude,PartnerB,2022-05-13,2024-12-31,auto_issued,729000,150,Makler,614.28,516.2
2,Wohngebaeude,PartnerC,2020-02-10,2021-03-30,active,606000,500,Makler,644.61,541.69
3,Wohngebaeude,PartnerA,2020-12-09,2024-05-23,active,896000,500,Makler,534.54,449.19
4,Wohngebaeude,PartnerB,2021-11-07,2024-12-31,auto_issued,809000,500,Makler,488.77,410.73
5,Wohngebaeude,PartnerA,2020-02-17,2023-09-24,active,840000,150,Makler,728.09,611.84
6,Wohngebaeude,PartnerB,2021-06-24,2022-06-27,active,630000,1000,Makler,473.56,397.95
7,Wohngebaeude,PartnerA,2023-10-22,2024-12-31,active,518000,300,Makler,466.31,391.86
8,Wohngebaeude,PartnerA,2022-03-08,2024-03-20,active,170000,300,Makler,142.8,120.0
9,Wohngebaeude,PartnerA,2023-11-22,2024-12-31,active,320000,300,Direkt,292.43,245.74
10,Wohngebaeude,PartnerB,2021-10-11,2022-12-17,active,339000,150,Direkt,325.38,273.43
11,Wohngebaeude,PartnerA,2020-01-11,2021-07-19,active,913000,150,Makler,715.02,600.86
12,Wohngebaeude,PartnerB,2021-08-15,2024-12-31,active,393000,150,Makler,255.03,214.31
13,Wohngebaeude,PartnerB,2023-10-15,2024-12-31,active,440000,500,Makler,276.78,232.59
14,Wohngebaeude,PartnerB,2021-09-26,2024-12-31,active,940000,500,Makler,759.59,638.31
15,Wohngebaeude,PartnerA,2020-08-09,2022-11-30,active,752000,150,Makler,722.2,606.89
16,Wohngebaeude,PartnerA,2020-09-08,2023-04-19,active,517000,500,Makler,385.36,323.83
17,Wohngebaeude,PartnerB,2022-10-05,2024-12-31,active,280000,150,Makler,268.26,225.43
18,Wohngebaeude,PartnerA,2023-01-26,2024-12-31,auto_issued,865000,300,Makler,637.77,535.94
19,Wohngebaeude,PartnerA,2022-12-05,2024-05-22,active,738000,150,Direkt,660.8,555.29
20,Wohngebaeude,PartnerB,2020-08-11,2024-05-14,active,475000,1000,Makler,461.02,387.41
21,Wohngebaeude,PartnerA,2023-12-26,2024-12-31,auto_issued,501000,300,Makler,418.34,351.55
22,Wohngebaeude,PartnerC,2021-02-08,2024-06-12,active,662000,500,Direkt,654.36,549.88
23,Wohngebaeude,PartnerB,2022-01-03,2023-11-28,auto_issued,697000,300,Direkt,765.84,643.56
24,Wohngebaeude,PartnerB,2022-12-03,2024-12-31,active,895000,1000,Makler,512.91,431.02
25,Wohngebaeude,PartnerB,2021-08-04,2022-11-03,auto_issued,606000,150,Direkt,567.68,477.04
26,Wohngebaeude,PartnerA,2021-09-25,2023-09-09,active,429000,300,Direkt,322.76,271.23
27,Wohngebaeude,PartnerC,2021-06-10,2023-03-20,active,854000,150,Direkt,757.01,636.14
28,Wohngebaeude,PartnerA,2023-10-25,2024-12-31,active,699000,300,Makler,709.66,596.35
29,Wohngebaeude,PartnerA,2022-05-22,2024-12-31,active,308000,1000,Makler,248.38,208.72
30,Wohngebaeude,PartnerC,2022-08-03,2024-06-30,auto_issued,949000,500,Makler,842.16,707.7
31,Wohngebaeude,PartnerA,2022-09-25,2024-12-31,active,363000,150,Makler,340.27,285.94
32,Wohngebaeude,PartnerC,2023-12-19,2024-12-31,active,988000,300,Vergleichsportal,972.12,816.91
33,Wohngebaeude,PartnerA,2022-07-24,2024-12-31,auto_issued,863000,150,Makler,549.68,461.92
34,Wohngebaeude,PartnerA,2021-10-24,2023-12-24,auto_issued,509000,300,Makler,289.4,243.19
35,Wohngebaeude,PartnerA,2020-08-17,2022-04-18,auto_issued,549000,150,Makler,501.85,421.72
36,Wohngebaeude,PartnerA,2023-09-18,2024-12-05,active,358000,300,Makler,296.5,249.16
37,Wohngebaeude,PartnerB,2022-11-04,2024-10-12,active,526000,1000,Makler,333.65,280.38
38,Wohngebaeude,PartnerC,2022-09-20,2024-07-10,active,523000,1000,Makler,477.3,401.09
39,Wohngebaeude,PartnerC,2021-01-23,2024-08-28,active,773000,150,Makler,826.38,694.44
40,Wohngebaeude,PartnerA,2021-05-09,2024-04-10,active,150000,300,Makler,148.45,124.75
41,Wohngebaeude,PartnerA,2021-08-16,2023-04-18,active,423000,300,Makler,337.94,283.98
42,Wohngebaeude,PartnerA,2023-02-22,2024-12-31,active,555000,150,Makler,609.89,512.51
43,Wohngebaeude,PartnerB,2023-12-20,2024-12-31,active,716000,150,Makler,468.34,393.56
44,Wohngebaeude,PartnerB,2022-09-16,2024-12-31,active,247000,150,Makler,143.51,120.6
45,Wohngebaeude,PartnerA,2021-10-10,2023-11-11,cancelled,719000,150,Makler,440.24,369.95
46,Wohngebaeude,PartnerA,2020-10-29,2022-06-08,active,719000,150,Makler,794.0,667.23
47,Wohngebaeude,PartnerA,2023-09-26,2024-12-31,active,793000,500,Makler,501.12,421.11
48,Wohngebaeude,PartnerC,2020-10-23,2022-04-14,active,446000,500,Direkt,425.98,357.97
49,Wohngebaeude,PartnerB,2023-10-22,2024-12-24,active,807000,150,Makler,610.62,513.13
50,Wohngebaeude,PartnerC,2020-01-11,2023-01-06,active,261000,300,Direkt,268.43,225.57
51,Wohngebaeude,PartnerC,2023-09-17,2024-12-31,active,900000,150,Vergleichsportal,685.26,575.85
52,Wohngebaeude,PartnerA,2023-02-15,2024-08-07,active,258000,150,Makler,230.4,193.61
53,Wohngebaeude,PartnerB,2020-12-07,2024-12-03,cancelled,385000,150,Makler,367.54,308.86
54,Wohngebaeude,PartnerC,2020-03-29,2022-07-13,active,283000,500,Makler,304.37,255.77
55,Wohngebaeude,PartnerA,2022-12-07,2024-02-20,active,232000,500,Makler,174.11,146.31
56,Wohngebaeude,PartnerC,2021-02-06,2022-10-01,active,231000,150,Direkt,142.8,120.0
57,Wohngebaeude,PartnerB,2022-05-31,2024-03-16,active,363000,300,Makler,227.54,191.21
58,Wohngebaeude,PartnerA,2022-07-31,2024-12-31,active,745000,500,Makler,709.17,595.94
59,Wohngebaeude,PartnerA,2020-09-24,2024-08-31,active,602000,300,Direkt,547.22,459.85
60,Wohngebaeude,PartnerA,2021-12-15,2024-12-31,active,998000,1000,Makler,1004.37,844.01
61,Wohngebaeude,PartnerB,2020-11-24,2024-04-03,active,581000,300,Makler,583.21,490.09
62,Wohngebaeude,PartnerC,2022-08-19,2024-12-31,active,894000,150,Makler,587.76,493.92
63,Wohngebaeude,PartnerA,2023-03-09,2024-12-31,active,792000,150,Makler,435.61,366.06
64,Wohngebaeude,PartnerC,2021-07-05,2023-01-25,active,677000,500,Makler,622.51,523.12
65,Wohngebaeude,PartnerB,2023-04-21,2024-08-26,active,614000,150,Vergleichsportal,629.88,529.31
66,Wohngebaeude,PartnerC,2022-12-23,2024-12-31,active,921000,300,Vergleichsportal,994.38,835.61
67,Wohngebaeude,PartnerA,2023-01-09,2024-12-31,active,950000,300,Makler,496.03,416.83
68,Wohngebaeude,PartnerA,2021-01-26,2024-05-07,active,214000,300,Makler,157.21,132.11
69,Wohngebaeude,PartnerC,2022-11-02,2024-02-03,auto_issued,610000,150,Makler,437.85,367.94
70,Wohngebaeude,PartnerA,2023-05-08,2024-12-31,active,220000,300,Makler,148.85,125.08
71,Wohngebaeude,PartnerA,2022-06-11,2024-12-31,auto_issued,859000,150,Makler,523.95,440.29
72,Wohngebaeude,PartnerA,2023-10-03,2024-10-03,cancelled,849000,150,Makler,870.44,731.46
73,Wohngebaeude,PartnerA,2020-05-08,2022-11-29,active,274000,300,Makler,144.31,121.27
74,Wohngebaeude,PartnerC,2021-08-31,2024-03-01,cancelled,682000,300,Vergleichsportal,513.89,431.84
75,Wohngebaeude,PartnerC,2022-12-05,2024-12-31,active,839000,150,Makler,636.25,534.66
76,Wohngebaeude,PartnerA,2021-03-14,2022-05-11,active,393000,150,Direkt,217.97,183.17
77,Wohngebaeude,PartnerA,2021-08-20,2023-01-27,active,982000,300,Makler,625.58,525.7
78,Wohngebaeude,PartnerA,2023-02-03,2024-12-31,auto_issued,472000,500,Vergleichsportal,329.37,276.78
79,Wohngebaeude,PartnerB,2023-02-22,2024-12-31,active,337000,150,Direkt,337.89,283.94
80,Wohngebaeude,PartnerB,2021-03-08,2023-10-16,active,913000,150,Makler,667.95,561.3
