claim_id,policy_id,loss_date,report_date,paid,reserve,status,cause,peril,settlement_date
1,3,2022-08-16,2022-08-28,24906.79,0.0,Closed,n/a,Leitungswasser,2022-10-30
2,8,2023-12-11,2023-12-16,7672.76,0.0,Closed,n/a,Sturm/Hagel,2024-01-04
3,12,2021-10-25,2021-11-12,32693.65,0.0,Closed,n/a,Einbruchdiebstahl,2022-01-16
4,16,2021-06-24,2021-06-29,11181.07,0.0,Closed,n/a,Elementar,2021-07-11
5,19,2024-05-09,2024-05-10,19515.63,0.0,Closed,n/a,Feuer,2024-08-04
6,20,2020-08-28,2020-09-01,17477.59,0.0,Closed,n/a,Einbruchdiebstahl,2020-09-14
7,28,2024-01-24,2024-02-29,52954.62,0.0,Closed,n/a,Feuer,2024-03-15
8,28,2024-11-24,2024-12-19,10949.55,2206.67,Open,n/a,Sturm/Hagel,2025-01-08
9,29,2022-11-16,2022-11-16,6139.41,0.0,Closed,n/a,Leitungswasser,2022-11-21
10,29,2023-10-16,2023-10-29,59818.74,0.0,Closed,n/a,Einbruchdiebstahl,2024-01-01
11,30,2023-11-04,2023-11-11,34408.71,0.0,Closed,n/a,Leitungswasser,2024-03-12
12,31,2022-12-20,2022-12-25,14178.63,0.0,Closed,n/a,Sturm/Hagel,2022-12-31
13,34,2022-01-01,2022-01-12,4527.07,0.0,Closed,n/a,Elementar,2022-04-09
14,37,2024-04-01,2024-05-01,28872.02,0.0,Closed,n/a,Leitungswasser,2024-05-21
15,40,2023-03-29,2023-04-01,3182.45,0.0,Closed,n/a,Leitungswasser,2024-04-05
16,44,2023-01-04,2023-01-14,7253.88,0.0,Closed,n/a,Leitungswasser,2023-01-14
17,47,2023-10-10,2023-10-15,69964.4,0.0,Closed,n/a,Leitungswasser,2023-12-31
18,50,2021-01-03,2021-01-08,1497.92,0.0,Closed,n/a,Leitungswasser,2021-03-15
19,52,2023-03-08,2023-03-18,41497.51,0.0,Closed,n/a,Einbruchdiebstahl,2023-04-26
20,52,2023-09-04,2023-09-08,7287.49,0.0,Closed,n/a,Leitungswasser,2023-12-25
21,58,2024-07-28,2024-07-31,8956.08,0.0,Closed,n/a,Sturm/Hagel,2024-08-13
22,60,2022-05-09,2022-05-11,18802.02,0.0,Closed,n/a,Leitungswasser,2022-05-26
23,61,2023-11-06,2023-11-15,7182.7,0.0,Closed,n/a,Sturm/Hagel,2023-12-19
24,61,2023-05-07,2023-05-16,10384.37,0.0,Closed,n/a,Feuer,2023-07-10
25,66,2024-11-27,2024-11-28,47251.05,0.0,Closed,n/a,Leitungswasser,2024-12-17
26,68,2021-02-03,2021-02-04,9525.67,0.0,Closed,n/a,Einbruchdiebstahl,2021-06-07
27,69,2023-05-23,2023-05-27,60803.46,0.0,Closed,n/a,Einbruchdiebstahl,2023-07-06
28,71,2024-05-14,2024-05-15,73113.09,0.0,Closed,n/a,Leitungswasser,2024-07-16
29,73,2022-02-28,2022-03-05,16999.57,0.0,Closed,n/a,Sturm/Hagel,2022-06-14
30,74,2023-12-11,2023-12-14,16613.7,0.0,Closed,n/a,Sturm/Hagel,2024-02-03
31,83,2024-06-26,2024-07-08,56297.83,0.0,Closed,n/a,Elementar,2024-07-11
32,83,2023-12-27,2024-01-10,45894.14,0.0,Closed,n/a,Sturm/Hagel,2024-01-18
33,85,2022-06-12,2022-06-19,14535.1,0.0,Closed,n/a,Sturm/Hagel,2022-09-30
34,95,2021-07-12,2021-07-18,30653.64,0.0,Closed,n/a,Sturm/Hagel,2021-08-07
35,95,2023-10-21,2023-10-27,12737.64,0.0,Closed,n/a,Leitungswasser,2023-11-16
36,98,2020-05-20,2020-05-21,12968.25,0.0,Closed,n/a,Elementar,2020-10-19
37,101,2022-05-20,2022-05-20,33404.81,0.0,Closed,n/a,Leitungswasser,2022-09-06
38,104,2021-10-05,2021-10-14,2224.02,0.0,Closed,n/a,Leitungswasser,2022-02-01
39,104,2023-03-13,2023-03-19,685.4,0.0,Closed,n/a,Leitungswasser,2023-06-06
40,104,2024-05-10,2024-05-12,10146.6,0.0,Closed,n/a,Leitungswasser,2024-09-05
41,108,2022-12-15,2022-12-28,38797.67,0.0,Closed,n/a,Leitungswasser,2023-01-22
42,112,2021-12-16,2021-12-23,31882.39,0.0,Closed,n/a,Feuer,2022-02-06
43,115,2023-05-14,2023-05-14,192205.25,0.0,Closed,n/a,Sturm/Hagel,2023-05-17
44,119,2022-10-16,2022-10-17,4808.25,0.0,Closed,n/a,Leitungswasser,2023-03-02
45,126,2022-10-01,2022-10-12,13431.61,0.0,Closed,n/a,Leitungswasser,2022-12-05
46,128,2021-02-22,2021-02-27,24466.98,0.0,Closed,n/a,Sturm/Hagel,2021-03-21
47,128,2021-06-19,2021-06-22,66445.62,0.0,Closed,n/a,Leitungswasser,2021-06-24
48,131,2022-11-20,2022-12-01,59106.09,0.0,Closed,n/a,Leitungswasser,2023-02-09
49,132,2023-06-15,2023-06-21,20542.18,0.0,Closed,n/a,Sturm/Hagel,2023-07-16
50,135,2024-11-17,2024-11-19,42728.98,0.0,Closed,n/a,Elementar,2024-11-20
51,135,2022-11-28,2022-11-30,197696.61,0.0,Closed,n/a,Einbruchdiebstahl,2023-03-07
52,136,2022-02-09,2022-02-09,20117.7,0.0,Closed,n/a,Einbruchdiebstahl,2022-02-14
53,140,2024-04-27,2024-04-29,16772.95,0.0,Closed,n/a,Einbruchdiebstahl,2024-06-20
