policy_id,factor_name,factor_level
1,plz_zone,A
1,baujahr_klasse,2010+
1,dachart,Sattel
1,nutzung,Vermietet
1,gebaeudeart,EFH
1,sicherungen,Standard
1,hochwasserzone,HWZ0
1,roof_material,Schiefer
1,heizung,Oel
2,plz_zone,B
2,baujahr_klasse,2000-2009
2,dachart,Walmdach
2,nutzung,Eigennutzung
2,gebaeudeart,EFH
2,sicherungen,Erweitert
2,hochwasserzone,HWZ3
2,roof_material,Schiefer
2,heizung,Wärmepumpe
3,plz_zone,A
3,baujahr_klasse,2000-2009
3,dachart,Sattel
3,nutzung,Vermietet
3,gebaeudeart,Reihenhaus
3,sicherungen,Standard
3,hochwasserzone,HWZ0
3,roof_material,Ziegel
3,heizung,Fernwärme
4,plz_zone,C
4,baujahr_klasse,2000-2009
4,dachart,Sattel
4,nutzung,Vermietet
4,gebaeudeart,EFH
4,sicherungen,Erweitert
4,hochwasserzone,HWZ0
4,roof_material,Schiefer
4,heizung,Wärmepumpe
5,plz_zone,C
5,baujahr_klasse,1980-1999
5,dachart,Walmdach
5,nutzung,Vermietet
5,gebaeudeart,EFH
5,sicherungen,Erweitert
5,hochwasserzone,HWZ3
5,roof_material,Schiefer
5,heizung,Oel
6,plz_zone,B
6,baujahr_klasse,1950-1979
6,dachart,Sattel
6,nutzung,Vermietet
6,gebaeudeart,EFH
6,sicherungen,Erweitert
6,hochwasserzone,HWZ2
6,roof_material,Ziegel
6,heizung,Fernwärme
7,plz_zone,D
7,baujahr_klasse,1980-1999
7,dachart,Walmdach
7,nutzung,Vermietet
7,gebaeudeart,DHH
7,sicherungen,Standard
7,hochwasserzone,HWZ3
7,roof_material,Schiefer
7,heizung,Gas
8,plz_zone,C
8,baujahr_klasse,2010+
8,dachart,Sattel
8,nutzung,Vermietet
8,gebaeudeart,Reihenhaus
8,sicherungen,Erweitert
8,hochwasserzone,HWZ1
8,roof_material,Schiefer
8,heizung,Oel
9,plz_zone,C
9,baujahr_klasse,2010+
9,dachart,Flach
9,nutzung,Vermietet
9,gebaeudeart,EFH
9,sicherungen,Erweitert
9,hochwasserzone,HWZ1
9,roof_material,Bitumen
9,heizung,Gas
10,plz_zone,A
10,baujahr_klasse,1980-1999
10,dachart,Walmdach
10,nutzung,Eigennutzung
10,gebaeudeart,DHH
10,sicherungen,Erweitert
10,hochwasserzone,HWZ2
10,roof_material,Ziegel
10,heizung,Gas
11,plz_zone,C
11,baujahr_klasse,1950-1979
11,dachart,Walmdach
11,nutzung,Vermietet
11,gebaeudeart,MFH
11,sicherungen,Standard
11,hochwasserzone,HWZ2
11,roof_material,Ziegel
11,heizung,Wärmepumpe
12,plz_zone,C
12,baujahr_klasse,2010+
12,dachart,Walmdach
12,nutzung,Eigennutzung
12,gebaeudeart,DHH
12,sicherungen,Standard
12,hochwasserzone,HWZ0
12,roof_material,Ziegel
12,heizung,Oel
13,plz_zone,D
13,baujahr_klasse,2010+
13,dachart,Flach
13,nutzung,Vermietet
13,gebaeudeart,MFH
13,sicherungen,Erweitert
13,hochwasserzone,HWZ2
13,roof_material,Bitumen
13,heizung,Fernwärme
14,plz_zone,B
14,baujahr_klasse,2010+
14,dachart,Walmdach
14,nutzung,Eigennutzung
14,gebaeudeart,DHH
14,sicherungen,Erweitert
14,hochwasserzone,HWZ3
14,roof_material,Bitumen
14,heizung,Fernwärme
15,plz_zone,D
15,baujahr_klasse,1950-1979
15,dachart,Flach
15,nutzung,Vermietet
15,gebaeudeart,EFH
15,sicherungen,Erweitert
15,hochwasserzone,HWZ2
15,roof_material,Ziegel
15,heizung,Fernwärme
16,plz_zone,B
16,baujahr_klasse,1950-1979
16,dachart,Walmdach
16,nutzung,Eigennutzung
16,gebaeudeart,DHH
16,sicherungen,Erweitert
16,hochwasserzone,HWZ1
16,roof_material,Ziegel
16,heizung,Oel
17,plz_zone,C
17,baujahr_klasse,1950-1979
17,dachart,Flach
17,nutzung,Vermietet
17,gebaeudeart,MFH
17,sicherungen,Standard
17,hochwasserzone,HWZ3
17,roof_material,Blech
17,heizung,Gas
18,plz_zone,D
18,baujahr_klasse,<1950
18,dachart,Walmdach
18,nutzung,Vermietet
18,gebaeudeart,MFH
18,sicherungen,Standard
18,hochwasserzone,HWZ0
18,roof_material,Ziegel
18,heizung,Oel
19,plz_zone,C
19,baujahr_klasse,<1950
19,dachart,Flach
19,nutzung,Eigennutzung
19,gebaeudeart,Reihenhaus
19,sicherungen,Standard
19,hochwasserzone,HWZ3
19,roof_material,Blech
19,heizung,Wärmepumpe
20,plz_zone,A
20,baujahr_klasse,<1950
20,dachart,Walmdach
20,nutzung,Vermietet
20,gebaeudeart,DHH
20,sicherungen,Standard
20,hochwasserzone,HWZ2
20,roof_material,Bitumen
20,heizung,Oel
21,plz_zone,A
21,baujahr_klasse,1950-1979
21,dachart,Sattel
21,nutzung,Eigennutzung
21,gebaeudeart,MFH
21,sicherungen,Standard
21,hochwasserzone,HWZ0
21,roof_material,Bitumen
21,heizung,Wärmepumpe
22,plz_zone,A
22,baujahr_klasse,<1950
22,dachart,Flach
22,nutzung,Eigennutzung
22,gebaeudeart,EFH
22,sicherungen,Erweitert
22,hochwasserzone,HWZ1
22,roof_material,Schiefer
22,heizung,Wärmepumpe
23,plz_zone,D
23,baujahr_klasse,<1950
23,dachart,Walmdach
23,nutzung,Vermietet
23,gebaeudeart,DHH
23,sicherungen,Standard
23,hochwasserzone,HWZ3
23,roof_material,Blech
23,heizung,Oel
24,plz_zone,A
24,baujahr_klasse,<1950
24,dachart,Flach
24,nutzung,Eigennutzung
24,gebaeudeart,DHH
24,sicherungen,Standard
24,hochwasserzone,HWZ0
24,roof_material,Bitumen
24,heizung,Fernwärme
25,plz_zone,D
25,baujahr_klasse,1980-1999
25,dachart,Sattel
25,nutzung,Vermietet
25,gebaeudeart,EFH
25,sicherungen,Erweitert
25,hochwasserzone,HWZ0
25,roof_material,Ziegel
25,heizung,Fernwärme
26,plz_zone,C
26,baujahr_klasse,1980-1999
26,dachart,Flach
26,nutzung,Eigennutzung
26,gebaeudeart,MFH
26,sicherungen,Standard
26,hochwasserzone,HWZ0
26,roof_material,Schiefer
26,heizung,Wärmepumpe
27,plz_zone,A
27,baujahr_klasse,<1950
27,dachart,Sattel
27,nutzung,Vermietet
27,gebaeudeart,DHH
27,sicherungen,Standard
27,hochwasserzone,HWZ1
27,roof_material,Blech
27,heizung,Wärmepumpe
28,plz_zone,A
28,baujahr_klasse,1950-1979
28,dachart,Walmdach
28,nutzung,Vermietet
28,gebaeudeart,Reihenhaus
28,sicherungen,Standard
28,hochwasserzone,HWZ0
28,roof_material,Bitumen
28,heizung,Fernwärme
29,plz_zone,D
29,baujahr_klasse,<1950
29,dachart,Flach
29,nutzung,Vermietet
29,gebaeudeart,DHH
29,sicherungen,Standard
29,hochwasserzone,HWZ3
29,roof_material,Bitumen
29,heizung,Fernwärme
30,plz_zone,D
30,baujahr_klasse,1980-1999
30,dachart,Walmdach
30,nutzung,Vermietet
30,gebaeudeart,DHH
30,sicherungen,Standard
30,hochwasserzone,HWZ2
30,roof_material,Schiefer
30,heizung,Fernwärme
31,plz_zone,B
31,baujahr_klasse,<1950
31,dachart,Walmdach
31,nutzung,Vermietet
31,gebaeudeart,EFH
31,sicherungen,Standard
31,hochwasserzone,HWZ3
31,roof_material,Schiefer
31,heizung,Gas
32,plz_zone,A
32,baujahr_klasse,2000-2009
32,dachart,Sattel
32,nutzung,Eigennutzung
32,gebaeudeart,DHH
32,sicherungen,Standard
32,hochwasserzone,HWZ3
32,roof_material,Bitumen
32,heizung,Wärmepumpe
33,plz_zone,D
33,baujahr_klasse,2000-2009
33,dachart,Sattel
33,nutzung,Vermietet
33,gebaeudeart,EFH
33,sicherungen,Erweitert
33,hochwasserzone,HWZ2
33,roof_material,Blech
33,heizung,Oel
34,plz_zone,B
34,baujahr_klasse,1980-1999
34,dachart,Flach
34,nutzung,Eigennutzung
34,gebaeudeart,MFH
34,sicherungen,Standard
34,hochwasserzone,HWZ3
34,roof_material,Schiefer
34,heizung,Wärmepumpe
35,plz_zone,A
35,baujahr_klasse,1950-1979
35,dachart,Walmdach
35,nutzung,Vermietet
35,gebaeudeart,EFH
35,sicherungen,Erweitert
35,hochwasserzone,HWZ1
35,roof_material,Schiefer
35,heizung,Wärmepumpe
36,plz_zone,B
36,baujahr_klasse,2010+
36,dachart,Walmdach
